ds,y
2012-10-01,282.1181974809091
2012-10-02,286.1377282244583
2012-10-03,289.5997916666667
2012-10-04,286.48249999999996
2012-10-05,288.2860416666666
2012-10-06,288.2910416666667
2012-10-07,288.2625
2012-10-08,288.4870833333333
2012-10-09,285.1933333333333
2012-10-10,284.36395833333336
2012-10-11,286.5997916666667
2012-10-12,283.68125000000003
2012-10-13,284.83958333333334
2012-10-14,286.33083333333343
2012-10-15,287.9283333333333
2012-10-16,288.75458333333336
2012-10-17,287.9058333333333
2012-10-18,282.69583333333327
2012-10-19,283.44375
2012-10-20,286.3575
2012-10-21,283.0375
2012-10-22,280.40458333333333
2012-10-23,280.89708333333334
2012-10-24,280.13916666666665
2012-10-25,280.8524999999999
2012-10-26,280.7808333333333
2012-10-27,281.24250000000006
2012-10-28,283.30375000000004
2012-10-29,287.54083333333335
2012-10-30,288.46958333333333
2012-10-31,287.4275
2012-11-01,286.9341666666667
2012-11-02,285.68625000000003
2012-11-03,285.1916666666667
2012-11-04,285.85729166666675
2012-11-05,288.25125
2012-11-06,289.0691666666667
2012-11-07,285.25375
2012-11-08,283.2625
2012-11-09,279.17166666666657
2012-11-10,277.94625
2012-11-11,276.8308333333333
2012-11-12,277.40270833333324
2012-11-13,280.91
2012-11-14,282.4541666666667
2012-11-15,283.1445833333333
2012-11-16,280.660625
2012-11-17,281.6220833333333
2012-11-18,281.62666666666667
2012-11-19,280.30875000000003
2012-11-20,283.88124999999997
2012-11-21,283.55
2012-11-22,280.83750000000003
2012-11-23,277.83625000000006
2012-11-24,279.63
2012-11-25,282.2058333333333
2012-11-26,277.99125
2012-11-27,279.68583333333333
2012-11-28,276.89916666666664
2012-11-29,278.08458333333334
2012-11-30,280.64562500000005
2012-12-01,282.2054166666667
2012-12-02,282.90062500000005
2012-12-03,281.64625
2012-12-04,282.1860416666667
2012-12-05,283.5558333333334
2012-12-06,280.6829166666667
2012-12-07,278.5522291666667
2012-12-08,280.6016666666667
2012-12-09,277.52270833333336
2012-12-10,278.3354166666667
2012-12-11,281.17333333333335
2012-12-12,279.86291666666665
2012-12-13,278.8066666666667
2012-12-14,278.02208333333334
2012-12-15,277.09
2012-12-16,275.7074999999999
2012-12-17,277.17833333333334
2012-12-18,279.5420833333333
2012-12-19,275.23291666666665
2012-12-20,275.9627083333333
2012-12-21,278.3937500000001
2012-12-22,276.58916666666664
2012-12-23,278.97916666666663
2012-12-24,278.29791666666665
2012-12-25,277.19666666666666
2012-12-26,277.31583333333333
2012-12-27,277.3275
2012-12-28,277.4697916666666
2012-12-29,276.97625
2012-12-30,274.8591666666667
2012-12-31,275.05645833333335
2013-01-01,273.26479166666667
2013-01-02,273.14625
2013-01-03,272.9222916666666
2013-01-04,273.81458333333336
2013-01-05,275.0741145833333
2013-01-06,275.06333333333333
2013-01-07,275.39916666666664
2013-01-08,279.66472916666675
2013-01-09,281.8747916666667
2013-01-10,278.9123666666666
2013-01-11,275.79338194445836
2013-01-12,274.6197083333332
2013-01-13,271.83942361112497
2013-01-14,271.458701388875
2013-01-15,271.3102083333333
2013-01-16,274.1470833333333
2013-01-17,273.5999583333333
2013-01-18,274.08916666666664
2013-01-19,273.3091666666666
2013-01-20,274.3228125
2013-01-21,272.3572083333333
2013-01-22,272.750625
2013-01-23,272.95645833333333
2013-01-24,273.86875000000003
2013-01-25,274.83500000000004
2013-01-26,277.94335416666667
2013-01-27,277.59682986112506
2013-01-28,277.1745833333333
2013-01-29,277.2206319444583
2013-01-30,279.09213541666674
2013-01-31,280.2627083333333
2013-02-01,281.04833333333335
2013-02-02,279.9283333333334
2013-02-03,279.10416666666663
2013-02-04,278.01875
2013-02-05,279.81354166666665
2013-02-06,280.4908333333334
2013-02-07,280.1216666666667
2013-02-08,279.3666666666666
2013-02-09,275.855625
2013-02-10,276.2477083333333
2013-02-11,278.6177083333333
2013-02-12,278.8200972222083
2013-02-13,280.1195833333333
2013-02-14,281.97812500000003
2013-02-15,279.6179166666667
2013-02-16,280.29375
2013-02-17,280.70875000000007
2013-02-18,277.83041666666674
2013-02-19,276.79625
2013-02-20,279.02777777779164
2013-02-21,277.3995555555416
2013-02-22,277.9858333333334
2013-02-23,279.44708333333335
2013-02-24,277.7183333333333
2013-02-25,277.738701388875
2013-02-26,279.63699999999994
2013-02-27,277.0997916666666
2013-02-28,280.3607083333333
2013-03-01,282.2395833333333
2013-03-02,285.41937500000006
2013-03-03,283.91208333333327
2013-03-04,279.05312499999997
2013-03-05,277.5814583333333
2013-03-06,278.6915041666667
2013-03-07,278.5143750000001
2013-03-08,279.33425
2013-03-09,278.5509375
2013-03-10,279.55000000000007
2013-03-11,279.267
2013-03-12,281.3049375
2013-03-13,283.3676666666667
2013-03-14,284.46201388887505
2013-03-15,285.03338194445837
2013-03-16,285.4407916666666
2013-03-17,281.79074999999995
2013-03-18,278.11924999999997
2013-03-19,278.63697916666666
2013-03-20,279.2617916666666
2013-03-21,282.06541666666664
2013-03-22,278.24666666666667
2013-03-23,277.0804166666666
2013-03-24,276.38
2013-03-25,278.77916666666664
2013-03-26,281.9979166666667
2013-03-27,281.9943541666667
2013-03-28,282.8258333333333
2013-03-29,284.9695833333332
2013-03-30,286.6629166666666
2013-03-31,286.74583333333334
2013-04-01,289.66386111112496
2013-04-02,287.46143055554165
2013-04-03,286.365
2013-04-04,284.75291666666664
2013-04-05,286.62895833333334
2013-04-06,285.9061666666667
2013-04-07,283.70208333333335
2013-04-08,281.8483333333333
2013-04-09,280.45708333333334
2013-04-10,281.14625
2013-04-11,284.9216666666666
2013-04-12,281.85125
2013-04-13,280.72875
2013-04-14,280.27541666666673
2013-04-15,279.65416666666664
2013-04-16,279.4962500000001
2013-04-17,281.1079166666667
2013-04-18,280.84625
2013-04-19,283.43458333333336
2013-04-20,284.30416666666673
2013-04-21,283.9740208333333
2013-04-22,283.09583333333336
2013-04-23,282.4745833333333
2013-04-24,284.29229166666676
2013-04-25,286.4033333333333
2013-04-26,288.0287291666666
2013-04-27,288.5016666666666
2013-04-28,289.0325000000001
2013-04-29,286.9795833333334
2013-04-30,285.86208333333326
2013-05-01,280.939375
2013-05-02,282.02124999999995
2013-05-03,288.56791666666663
2013-05-04,289.96375
2013-05-05,291.28625000000005
2013-05-06,293.0841666666667
2013-05-07,291.79624999999993
2013-05-08,290.4108333333333
2013-05-09,287.74000000000007
2013-05-10,288.2991666666666
2013-05-11,291.9904166666667
2013-05-12,293.5454166666667
2013-05-13,292.92291666666665
2013-05-14,288.73333333333335
2013-05-15,285.2995833333333
2013-05-16,285.49833333333333
2013-05-17,286.4591041666667
2013-05-18,285.65583333333325
2013-05-19,285.0566666666667
2013-05-20,285.68125000000003
2013-05-21,286.0224999999999
2013-05-22,286.24583333333334
2013-05-23,279.99375000000003
2013-05-24,281.70833333333337
2013-05-25,283.1508333333333
2013-05-26,285.31458333333336
2013-05-27,287.66041666666666
2013-05-28,286.19770833333337
2013-05-29,286.58229166666666
2013-05-30,286.48166666666674
2013-05-31,285.4554166666666
2013-06-01,286.68708333333336
2013-06-02,288.07958333333323
2013-06-03,290.24083333333334
2013-06-04,288.2254166666667
2013-06-05,290.4883333333333
2013-06-06,294.2566666666668
2013-06-07,293.3170833333333
2013-06-08,292.1020833333333
2013-06-09,289.91375000000005
2013-06-10,289.9483333333334
2013-06-11,287.4377083333333
2013-06-12,287.65000000000003
2013-06-13,286.76083333333327
2013-06-14,285.63375
2013-06-15,286.22708333333327
2013-06-16,288.68291666666664
2013-06-17,290.07500000000005
2013-06-18,290.61791666666664
2013-06-19,290.28787500000004
2013-06-20,286.2294375
2013-06-21,286.70702083333333
2013-06-22,288.5442895833334
2013-06-23,289.4025104166667
2013-06-24,291.30677083333336
2013-06-25,289.20625
2013-06-26,288.67458333333326
2013-06-27,289.8103333333334
2013-06-28,292.6651458333333
2013-06-29,295.37291666666664
2013-06-30,296.66172916666665
2013-07-01,296.9881875000001
2013-07-02,297.70487499999996
2013-07-03,296.594625
2013-07-04,294.6448333333333
2013-07-05,291.1043333333334
2013-07-06,289.24437500000005
2013-07-07,290.09375
2013-07-08,291.2345833333333
2013-07-09,291.1870833333333
2013-07-10,294.7804166666667
2013-07-11,294.08625
2013-07-12,289.93312499999996
2013-07-13,289.3908333333333
2013-07-14,290.0229166666667
2013-07-15,292.8009166666667
2013-07-16,293.1084166666667
2013-07-17,295.6139583333333
2013-07-18,292.8966666666666
2013-07-19,290.78291666666667
2013-07-20,291.72875
2013-07-21,291.1358333333333
2013-07-22,291.1958333333333
2013-07-23,291.67059722220836
2013-07-24,293.4324375
2013-07-25,295.3216666666667
2013-07-26,294.92689583333333
2013-07-27,294.7066666666667
2013-07-28,291.7058333333333
2013-07-29,289.4142083333333
2013-07-30,289.4764583333333
2013-07-31,290.4691666666667
2013-08-01,290.75054166666666
2013-08-02,289.0045
2013-08-03,288.68289583333336
2013-08-04,290.78000000000003
2013-08-05,294.23914583333334
2013-08-06,295.7358333333334
2013-08-07,295.13218750000004
2013-08-08,294.8795
2013-08-09,293.52450000000005
2013-08-10,293.1671875
2013-08-11,293.6191666666667
2013-08-12,291.52166666666665
2013-08-13,291.7354166666667
2013-08-14,292.32146875000007
2013-08-15,293.61709027779165
2013-08-16,293.34606249999985
2013-08-17,293.4277916666666
2013-08-18,293.5728333333333
2013-08-19,293.64625000000007
2013-08-20,293.4841666666666
2013-08-21,291.81770833333337
2013-08-22,293.21604166666674
2013-08-23,293.924375
2013-08-24,292.5314166666667
2013-08-25,292.08066666666656
2013-08-26,289.9843958333333
2013-08-27,290.60052083333335
2013-08-28,292.48666666666674
2013-08-29,294.01930208333334
2013-08-30,293.7008333333334
2013-08-31,292.91144791666665
2013-09-01,293.9316666666667
2013-09-02,293.4779375
2013-09-03,292.14445416666666
2013-09-04,291.01409375000003
2013-09-05,290.95495138887503
2013-09-06,289.26976805554165
2013-09-07,289.1882625
2013-09-08,292.17560416666674
2013-09-09,293.444375
2013-09-10,294.78912499999996
2013-09-11,297.79148611112504
2013-09-12,294.64005833333334
2013-09-13,292.3179895833334
2013-09-14,293.10295138887506
2013-09-15,291.7713402777916
2013-09-16,289.8788166666666
2013-09-17,287.90045833333335
2013-09-18,287.19579166666676
2013-09-19,285.88344444445835
2013-09-20,287.4201319444583
2013-09-21,287.8418874999999
2013-09-22,286.2359208333333
2013-09-23,286.6577881944583
2013-09-24,285.5387430555833
2013-09-25,283.975826388875
2013-09-26,284.2088055555417
2013-09-27,284.2925
2013-09-28,288.02654166666656
2013-09-29,286.3608090277916
2013-09-30,285.13989583333336
2013-10-01,282.4657958333333
2013-10-02,280.00914166666666
2013-10-03,281.833170138875
2013-10-04,281.8633333333333
2013-10-05,284.4786249999999
2013-10-06,284.01479166666655
2013-10-07,284.37779166666667
2013-10-08,283.7974777777917
2013-10-09,280.9957083333333
2013-10-10,282.07762499999995
2013-10-11,282.53683333333333
2013-10-12,282.75637638887497
2013-10-13,280.420375
2013-10-14,282.7863625
2013-10-15,284.23499999999996
2013-10-16,283.634951388875
2013-10-17,283.25711111112497
2013-10-18,285.4533333333333
2013-10-19,284.1052430555416
2013-10-20,283.40832638891663
2013-10-21,284.1631145833333
2013-10-22,287.4780104166666
2013-10-23,283.4583020833333
2013-10-24,284.8898659722084
2013-10-25,284.89112499999993
2013-10-26,284.21532083333335
2013-10-27,281.27869791666666
2013-10-28,278.55041666666665
2013-10-29,277.7506041666667
2013-10-30,277.0027083333333
2013-10-31,280.4567916666666
2013-11-01,279.62881250000004
2013-11-02,281.99283333333335
2013-11-03,278.774375
2013-11-04,279.0117708333333
2013-11-05,281.14293749999996
2013-11-06,282.2062916666667
2013-11-07,283.38958333333323
2013-11-08,281.52750000000003
2013-11-09,279.7222916666667
2013-11-10,282.14875
2013-11-11,281.8908333333333
2013-11-12,283.2495833333333
2013-11-13,283.19125
2013-11-14,280.26260416666673
2013-11-15,279.9423541666667
